,Long,Lat,Timestamp_AK,v,u
1,-157.23,58.95,5/31/22 16:00,1.106145544,-3.696018954
2,-156.98,58.95,5/31/22 16:00,0.942531986,-4.476247297
3,-156.73,58.95,5/31/22 16:00,0.912141563,-5.11695082
4,-156.48,58.95,5/31/22 16:00,0.937584708,-5.382117393
5,-156.23,58.95,5/31/22 16:00,0.89235245,-5.295348226
6,-155.98,58.95,5/31/22 16:00,0.731919285,-5.011092438
7,-157.23,58.7,5/31/22 16:00,-0.063179001,-2.977917334
8,-156.98,58.7,5/31/22 16:00,0.043540857,-4.147912772
9,-156.73,58.7,5/31/22 16:00,0.071811019,-5.055865327
10,-156.48,58.7,5/31/22 16:00,-0.000984647,-5.412313062
11,-156.23,58.7,5/31/22 16:00,-0.12254634,-5.25126949
12,-155.98,58.7,5/31/22 16:00,-0.225732429,-4.777509842
13,-157.23,58.45,5/31/22 16:00,-1.669277539,-2.205324677
14,-156.98,58.45,5/31/22 16:00,-1.26536761,-3.435711455
15,-156.73,58.45,5/31/22 16:00,-0.971004555,-4.261406841
16,-156.48,58.45,5/31/22 16:00,-0.999274717,-4.58939429
17,-156.23,58.45,5/31/22 16:00,-1.138858638,-4.562669386
18,-155.98,58.45,5/31/22 16:00,-1.272788527,-4.240929318
19,-157.23,58.95,5/31/22 17:00,1.043244436,-4.131947245
20,-156.98,58.95,5/31/22 17:00,1.098724627,-4.889615605
21,-156.73,58.95,5/31/22 17:00,1.214278911,-5.396000459
22,-156.48,58.95,5/31/22 17:00,1.251030121,-5.511924065
23,-156.23,58.95,5/31/22 17:00,1.115686724,-5.315478673
24,-155.98,58.95,5/31/22 17:00,0.854541109,-5.004497981
25,-157.23,58.7,5/31/22 17:00,0.031879416,-3.553023368
26,-156.98,58.7,5/31/22 17:00,0.358046402,-4.765362159
27,-156.73,58.7,5/31/22 17:00,0.513885666,-5.527542515
28,-156.48,58.7,5/31/22 17:00,0.438969738,-5.670191024
29,-156.23,58.7,5/31/22 17:00,0.238251593,-5.347062649
30,-155.98,58.7,5/31/22 17:00,0.050255021,-4.793128292
31,-157.23,58.45,5/31/22 17:00,-1.375974616,-2.885594941
32,-156.98,58.45,5/31/22 17:00,-0.70879881,-4.197544735
33,-156.73,58.45,5/31/22 17:00,-0.263897146,-4.910440205
34,-156.48,58.45,5/31/22 17:00,-0.312309798,-5.032264114
35,-156.23,58.45,5/31/22 17:00,-0.632469374,-4.802499362
36,-155.98,58.45,5/31/22 17:00,-0.923652035,-4.352340927
37,-157.23,58.95,5/31/22 18:00,0.99659867,-4.49568359
38,-156.98,58.95,5/31/22 18:00,1.190602651,-5.164153247
39,-156.73,58.95,5/31/22 18:00,1.323472409,-5.500123459
40,-156.48,58.95,5/31/22 18:00,1.29732251,-5.457780105
41,-156.23,58.95,5/31/22 18:00,1.084942924,-5.154782177
42,-155.98,58.95,5/31/22 18:00,0.808955474,-4.792434139
43,-157.23,58.7,5/31/22 18:00,0.218109103,-3.979580589
44,-156.98,58.7,5/31/22 18:00,0.670785061,-5.109315134
45,-156.73,58.7,5/31/22 18:00,0.805775081,-5.662902415
46,-156.48,58.7,5/31/22 18:00,0.594102248,-5.618476601
47,-156.23,58.7,5/31/22 18:00,0.26828864,-5.176995083
48,-155.98,58.7,5/31/22 18:00,0.013857188,-4.55086878
49,-157.23,58.45,5/31/22 18:00,-0.984432882,-3.297922019
50,-156.98,58.45,5/31/22 18:00,-0.204529808,-4.564057693
51,-156.73,58.45,5/31/22 18:00,0.153794486,-5.092308377
52,-156.48,58.45,5/31/22 18:00,-0.088622147,-5.039552724
53,-156.23,58.45,5/31/22 18:00,-0.606319475,-4.677898839
54,-155.98,58.45,5/31/22 18:00,-1.007402388,-4.128476478
55,-157.23,58.95,5/31/22 19:00,0.883518024,-4.53733279
56,-156.98,58.95,5/31/22 19:00,1.090950333,-5.074954544
57,-156.73,58.95,5/31/22 19:00,1.123461018,-5.264458403
58,-156.48,58.95,5/31/22 19:00,0.95277992,-5.113480054
59,-156.23,58.95,5/31/22 19:00,0.654883095,-4.781327685
60,-155.98,58.95,5/31/22 19:00,0.402218529,-4.44986947
61,-157.23,58.7,5/31/22 19:00,0.21139494,-4.006652569
62,-156.98,58.7,5/31/22 19:00,0.624139295,-4.948618638
63,-156.73,58.7,5/31/22 19:00,0.624846049,-5.31374329
64,-156.48,58.7,5/31/22 19:00,0.259100837,-5.189142767
65,-156.23,58.7,5/31/22 19:00,-0.14975637,-4.775774459
66,-155.98,58.7,5/31/22 19:00,-0.382985201,-4.202750885
67,-157.23,58.45,5/31/22 19:00,-0.913757479,-3.345471522
68,-156.98,58.45,5/31/22 19:00,-0.229266199,-4.408567347
69,-156.73,58.45,5/31/22 19:00,-0.072013427,-4.718853886
70,-156.48,58.45,5/31/22 19:00,-0.477336864,-4.586617676
71,-156.23,58.45,5/31/22 19:00,-1.032845533,-4.268001298
72,-155.98,58.45,5/31/22 19:00,-1.379508386,-3.769599207
73,-157.23,58.95,5/31/22 20:00,0.499397208,-4.605706893
74,-156.98,58.95,5/31/22 20:00,0.622725787,-5.029834578
75,-156.73,58.95,5/31/22 20:00,0.543922712,-5.13777542
76,-156.48,58.95,5/31/22 20:00,0.280303458,-4.963890011
77,-156.23,58.95,5/31/22 20:00,-0.009465695,-4.627919799
78,-155.98,58.95,5/31/22 20:00,-0.155410403,-4.245094238
79,-157.23,58.7,5/31/22 20:00,-0.101697096,-4.140624162
80,-156.98,58.7,5/31/22 20:00,0.178530878,-4.847966405
81,-156.73,58.7,5/31/22 20:00,0.072164396,-5.073913314
82,-156.48,58.7,5/31/22 20:00,-0.320790846,-4.944800795
83,-156.23,58.7,5/31/22 20:00,-0.666040191,-4.5966829
84,-155.98,58.7,5/31/22 20:00,-0.776647197,-4.061837759
